"elemento_grafo";"ci";"cj";"ck";"cl";"cm";"mean_absolute_error"
"A1";2;2;1;2;1;2.24902
"A1";2;2;1;2;2;2.38551
"A1";2;2;2;0;0;1.38491
"A1";2;2;2;0;1;1.46475
"A1";2;2;2;0;2;1.40161
"A1";2;2;2;1;0;2.30589
"A1";2;2;2;1;1;2.21827
"A1";2;2;2;1;2;2.48822
"A1";2;2;2;2;0;2.25161
"A1";2;2;2;2;1;2.29804
"A1";2;2;2;2;2;2.49456
"A10";0;0;0;0;0;0.22512
"A10";0;0;0;0;1;0.225693
"A10";0;0;0;0;2;0.218037
"A10";0;0;0;1;0;0.533338
"A10";0;0;0;1;1;0.528649
"A10";0;0;0;1;2;0.529607
"A10";0;0;0;2;0;1.02819
"A10";0;0;0;2;1;1.01798
"A10";0;0;0;2;2;1.03034
"A10";0;0;1;0;0;0.20663
"A10";0;0;1;0;1;0.205499
"A10";0;0;1;0;2;0.204357
"A10";0;0;1;1;0;0.529973
"A10";0;0;1;1;1;0.526222
"A10";0;0;1;1;2;0.516553
"A10";0;0;1;2;0;1.00038
"A10";0;0;1;2;1;0.990508
"A10";0;0;1;2;2;0.986189
"A10";0;0;2;0;0;0.211796
"A10";0;0;2;0;1;0.208721
"A10";0;0;2;0;2;0.203606
"A10";0;0;2;1;0;0.532248
"A10";0;0;2;1;1;0.535285
"A10";0;0;2;1;2;0.522831
"A10";0;0;2;2;0;1.03253
"A10";0;0;2;2;1;1.02062
"A10";0;0;2;2;2;1.0157
"A10";0;1;0;0;0;0.23497
"A10";0;1;0;0;1;0.230801
"A10";0;1;0;0;2;0.227527
"A10";0;1;0;1;0;0.53969
"A10";0;1;0;1;1;0.537433
"A10";0;1;0;1;2;0.536046
"A10";0;1;0;2;0;1.02408
"A10";0;1;0;2;1;1.03369
"A10";0;1;0;2;2;1.03084
"A10";0;1;1;0;0;0.230985
"A10";0;1;1;0;1;0.232923
"A10";0;1;1;0;2;0.225531
"A10";0;1;1;1;0;0.562362
"A10";0;1;1;1;1;0.557207
"A10";0;1;1;1;2;0.557034
"A10";0;1;1;2;0;1.06051
"A10";0;1;1;2;1;1.06092
"A10";0;1;1;2;2;1.05011
"A10";0;1;2;0;0;0.287023
"A10";0;1;2;0;1;0.263995
"A10";0;1;2;0;2;0.25478
"A10";0;1;2;1;0;0.559708
"A10";0;1;2;1;1;0.559327
"A10";0;1;2;1;2;0.556435
"A10";0;1;2;2;0;1.0714
"A10";0;1;2;2;1;1.07732
"A10";0;1;2;2;2;1.07512
"A10";0;2;0;0;0;0.221403
"A10";0;2;0;0;1;0.233024
"A10";0;2;0;0;2;0.231244
"A10";0;2;0;1;0;0.561872
"A10";0;2;0;1;1;0.547754
"A10";0;2;0;1;2;0.548651
"A10";0;2;0;2;0;1.03261
"A10";0;2;0;2;1;1.03892
"A10";0;2;0;2;2;1.04466
"A10";0;2;1;0;0;0.253481
"A10";0;2;1;0;1;0.252894
"A10";0;2;1;0;2;0.266463
"A10";0;2;1;1;0;0.575931
"A10";0;2;1;1;1;0.583679
"A10";0;2;1;1;2;0.595299
"A10";0;2;1;2;0;1.0494
"A10";0;2;1;2;1;1.06928
"A10";0;2;1;2;2;1.11231
"A10";0;2;2;0;0;0.261089
